Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Dummy 1,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T59-B02,WT-166:S010,daniel,jason,3,BLK:03 PLN:01 POS:01,MFV 02732,250.90,3/14/2013 16:46,3/14/2013 19:06,2:19:26,,,,,,250.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,7,MFV 02732,BLK:03 PLN:01 POS:01,250.90
T59-B02,WT-166:S010,daniel,jason,4,BLK:03 PLN:01 POS:03,MFV 03282,254.50,3/14/2013 16:54,3/14/2013 19:21,2:27:11,,,,,,254.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,8,MFV 03282,BLK:03 PLN:01 POS:03,254.50
T59-B02,WT-166:S010,daniel,jason,7,BLK:03 PLN:01 POS:05,MFV 01878,250.90,3/14/2013 16:53,3/14/2013 19:37,2:44:16,,,,,,250.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,9,MFV 01878,BLK:03 PLN:01 POS:05,250.90
T59-B02,WT-166:S010,daniel,jason,8,BLK:03 PLN:01 POS:07,MFV 01887,252.40,3/14/2013 16:53,3/14/2013 19:12,2:19:15,,,,,,252.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,10,MFV 01887,BLK:03 PLN:01 POS:07,252.40
T59-B02,WT-166:S010,daniel,jason,9,BLK:03 PLN:01 POS:09,MFV 03287,252.70,3/14/2013 16:51,3/14/2013 19:12,2:20:51,,,,,,252.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,11,MFV 03287,BLK:03 PLN:01 POS:09,252.70
T59-B02,WT-166:S010,daniel,jason,10,BLK:03 PLN:01 POS:11,MFV 03099,253.10,3/14/2013 19:07,3/14/2013 19:08,0:00:43,,,,,,253.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,12,MFV 03099,BLK:03 PLN:01 POS:11,253.10
T59-B02,WT-166:S010,galvin,wood,3,BLK:03 PLN:03 POS:00,MFV 01650,251.30,3/14/2013 19:06,3/14/2013 21:29,2:23:03,,,,,,251.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,13,MFV 01650,BLK:03 PLN:03 POS:00,251.30
T59-B02,WT-166:S010,galvin,wood,4,BLK:03 PLN:03 POS:02,MFV 01635,254.50,3/14/2013 19:22,3/14/2013 21:51,2:28:32,,,,,,254.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,14,MFV 01635,BLK:03 PLN:03 POS:02,254.50
T59-B02,WT-166:S010,galvin,wood,7,BLK:03 PLN:03 POS:04,MFV 00330,251.70,3/14/2013 21:29,3/14/2013 21:54,0:24:51,,,,,,251.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,15,MFV 00330,BLK:03 PLN:03 POS:04,251.70
T59-B02,WT-166:S010,galvin,wood,8,BLK:03 PLN:03 POS:06,MFV 01625,250.70,3/14/2013 19:10,3/14/2013 21:31,2:20:14,,,,,,250.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,16,MFV 01625,BLK:03 PLN:03 POS:06,250.70
