Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T59-B11,WT-168:S031,galvin,tommy,7,BLK:24 PLN:11 POS:02,MFV 01554,77.2,2/6/2014 16:08,2/6/2014 19:45,3:36:39,,T59-B11,WT-116:S057,175.2,252.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,63,MFV 01554,BLK:24 PLN:11 POS:02,252.40
T59-B11,WT-116:S057,wood,don,7,BLK:24 PLN:11 POS:03,MFV 00891,250.8,2/6/2014 19:46,2/6/2014 21:59,2:13:00,,,,,250.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,64,MFV 00891,BLK:24 PLN:11 POS:03,250.80
T59-B11,WT-168:S031,galvin,tommy,8,BLK:24 PLN:11 POS:04,MFV 01550,64,2/6/2014 16:22,2/6/2014 19:51,3:28:43,,T59-B11,WT-116:S057,186.3,250.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,65,MFV 01550,BLK:24 PLN:11 POS:04,250.30
T59-B11,WT-116:S057,wood,don,8,BLK:24 PLN:11 POS:05,MFV 01553,252.4,2/6/2014 19:51,2/6/2014 22:10,2:18:38,,,,,252.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,66,MFV 01553,BLK:24 PLN:11 POS:05,252.40
T59-B11,WT-116:S057,wood,don,12,BLK:24 PLN:11 POS:06,MFV 02977,250.8,2/6/2014 19:07,2/6/2014 21:29,2:22:05,,,,,250.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,67,MFV 02977,BLK:24 PLN:11 POS:06,250.80
T59-B11,WT-116:S057,wood,don,12,BLK:24 PLN:11 POS:07,MFV 00284,250.1,2/6/2014 21:30,2/6/2014 23:53,2:22:51,,,,,250.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,68,MFV 00284,BLK:24 PLN:11 POS:07,250.10
T59-B11,WT-168:S031,galvin,tommy,10,BLK:24 PLN:11 POS:08,MFV 01551,25.6,2/6/2014 16:42,2/6/2014 20:13,3:30:38,,T59-B11,WT-116:S057,227,252.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,69,MFV 01551,BLK:24 PLN:11 POS:08,252.60
T59-B11,WT-116:S057,wood,don,10,BLK:24 PLN:11 POS:09,MFV 01284,251.6,2/6/2014 20:13,2/6/2014 22:34,2:21:12,,,,,251.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,70,MFV 01284,BLK:24 PLN:11 POS:09,251.60
T59-B11,WT-116:S057,wood,don,11,BLK:24 PLN:11 POS:10,MFV 01283,252.6,2/6/2014 18:55,2/6/2014 21:11,2:15:48,,,,,252.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,71,MFV 01283,BLK:24 PLN:11 POS:10,252.60
T59-B11,WT-116:S057,wood,don,11,BLK:24 PLN:11 POS:11,MFV 01535,251.8,2/6/2014 21:11,2/6/2014 23:29,2:18:08,,,,,251.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,72,MFV 01535,BLK:24 PLN:11 POS:11,251.80
T59-B11,WT-116:S057,wood,don,6,BLK:24 PLN:13 POS:00,MFV 03088,251.9,2/6/2014 23:50,2/7/2014 2:23,2:32:30,,,,,251.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,73,MFV 03088,BLK:24 PLN:13 POS:00,251.90
T59-B11,WT-116:S057,wood,don,6,BLK:24 PLN:13 POS:01,MFV 01536,253.4,2/7/2014 2:23,2/7/2014 8:23,6:00:16,,,,,253.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,74,MFV 01536,BLK:24 PLN:13 POS:01,253.40
T59-B11,WT-116:S057,wood,don,7,BLK:24 PLN:13 POS:02,MFV 01537,251.8,2/6/2014 22:00,2/7/2014 0:15,2:14:36,,,,,251.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,75,MFV 01537,BLK:24 PLN:13 POS:02,251.80
T59-B11,WT-116:S057,wood,don,7,BLK:24 PLN:13 POS:03,MFV 00245,249.3,2/7/2014 0:18,2/7/2014 2:37,2:19:17,,,,,249.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,76,MFV 00245,BLK:24 PLN:13 POS:03,249.30
T59-B11,WT-116:S057,wood,don,8,BLK:24 PLN:13 POS:04,MFV 00913,250.6,2/6/2014 22:10,2/7/2014 0:26,2:16:01,,,,,250.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,77,MFV 00913,BLK:24 PLN:13 POS:04,250.60
T59-B11,WT-116:S057,wood,don,8,BLK:24 PLN:13 POS:05,MFV 00242,251.3,2/7/2014 0:26,2/7/2014 7:08,6:42:06,,,,,251.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,78,MFV 00242,BLK:24 PLN:13 POS:05,251.30
