Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T64-B11,WT-164:S052,galvin,tommy,6,BLK:23 PLN:25 POS:04,MFV 09147,190.2,1/28/2014 23:05,1/29/2014 1:47,2:41:31,swap 20min.,T64-B11,WT-163:S056,62.7,252.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,150,MFV 09147,BLK:23 PLN:25 POS:04,252.90
T64-B11,WT-163:S056,galvin,tommy,6,BLK:23 PLN:25 POS:05,MFV 09151,253.1,1/29/2014 1:47,1/29/2014 8:10,6:23:29,,,,,253.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,151,MFV 09151,BLK:23 PLN:25 POS:05,253.10
T64-B11,WT-164:S052,galvin,tommy,7,BLK:23 PLN:25 POS:06,MFV 09145,251.6,1/28/2014 19:36,1/28/2014 21:50,2:14:09,,,,,251.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,152,MFV 09145,BLK:23 PLN:25 POS:06,251.60
T64-B11,WT-164:S052,galvin,tommy,7,BLK:23 PLN:25 POS:07,MFV 06064,250.9,1/28/2014 21:50,1/29/2014 0:05,2:14:57,,,,,250.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,153,MFV 06064,BLK:23 PLN:25 POS:07,250.90
T64-B11,WT-164:S052,galvin,tommy,8,BLK:23 PLN:25 POS:08,MFV 06062,251.8,1/28/2014 20:15,1/28/2014 22:33,2:18:13,,,,,251.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,154,MFV 06062,BLK:23 PLN:25 POS:08,251.80
T64-B11,WT-164:S052,galvin,tommy,8,BLK:23 PLN:25 POS:09,MFV 06000,249.1,1/28/2014 22:33,1/29/2014 0:49,2:15:57,,,,,249.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,155,MFV 06000,BLK:23 PLN:25 POS:09,249.10
T64-B11,WT-164:S052,galvin,tommy,9,BLK:23 PLN:25 POS:10,MFV 06263,249,1/28/2014 20:19,1/28/2014 22:36,2:17:01,,,,,249.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,156,MFV 06263,BLK:23 PLN:25 POS:10,249.00
T64-B11,WT-164:S052,galvin,tommy,9,BLK:23 PLN:25 POS:11,MFV 01182,252.4,1/28/2014 22:36,1/29/2014 0:53,2:16:34,,,,,252.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,157,MFV 01182,BLK:23 PLN:25 POS:11,252.40
T64-B11,WT-163:S056,galvin,tommy,3,BLK:23 PLN:27 POS:00,MFV 09965,246.1,1/29/2014 2:06,1/29/2014 8:19,6:13:24,,,,,246.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,158,MFV 09965,BLK:23 PLN:27 POS:00,246.10
T64-B11,WT-163:S056,larry,don,3,BLK:23 PLN:27 POS:01,MFV 09888,248.7,1/29/2014 8:21,1/29/2014 10:39,2:18:00,,,,,248.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,159,MFV 09888,BLK:23 PLN:27 POS:01,248.70
T64-B11,WT-163:S056,,,5,BLK:23 PLN:27 POS:02,MFV 09868,250.7,1/29/2014 3:14,1/29/2014 9:18,6:04:05,,,,,250.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,160,MFV 09868,BLK:23 PLN:27 POS:02,250.70
T64-B11,WT-163:S056,larry,don,5,BLK:23 PLN:27 POS:03,MFV 02720,253.9,1/29/2014 9:18,1/29/2014 11:47,2:28:30,,,,,253.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,161,MFV 02720,BLK:23 PLN:27 POS:03,253.90
T64-B11,WT-163:S056,larry,don,6,BLK:23 PLN:27 POS:04,MFV 09157,253.4,1/29/2014 8:11,1/29/2014 10:34,2:22:59,,,,,253.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,162,MFV 09157,BLK:23 PLN:27 POS:04,253.40
T64-B11,WT-163:S056,larry,don,6,BLK:23 PLN:27 POS:05,MFV 09142,252,1/29/2014 10:34,1/29/2014 13:06,2:31:08,,,,,252.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,163,MFV 09142,BLK:23 PLN:27 POS:05,252.00
T64-B11,WT-164:S052,galvin,tommy,7,BLK:23 PLN:27 POS:06,MFV 09158,91.2,1/29/2014 0:05,1/29/2014 6:47,6:41:46,swap 20min.,T64-B11,WT-163:S056,159.9,251.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,164,MFV 09158,BLK:23 PLN:27 POS:06,251.10
T64-B11,WT-163:S056,,,7,BLK:23 PLN:27 POS:07,MFV 09141,248.4,1/29/2014 0:05,1/29/2014 9:07,9:01:17,,,,,248.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,165,MFV 09141,BLK:23 PLN:27 POS:07,248.40
T64-B11,WT-164:S052,galvin,tommy,8,BLK:23 PLN:27 POS:08,MFV 09835,5,1/29/2014 0:50,1/29/2014 7:28,6:37:28,swap 20min.,T64-B11,WT-163:S056,243.6,248.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,166,MFV 09835,BLK:23 PLN:27 POS:08,248.60
T64-B11,WT-163:S056,larry,don,8,BLK:23 PLN:27 POS:09,MFV 09887,248.9,1/29/2014 7:28,1/29/2014 9:43,2:14:33,,,,,248.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,167,MFV 09887,BLK:23 PLN:27 POS:09,248.90
T64-B11,WT-163:S056,galvin,tommy,9,BLK:23 PLN:27 POS:10,MFV 10004,248.4,1/29/2014 1:17,1/29/2014 7:25,6:07:51,,,,,248.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,168,MFV 10004,BLK:23 PLN:27 POS:10,248.40
T64-B11,WT-163:S056,larry,don,9,BLK:23 PLN:27 POS:11,MFV 03692,248.4,1/29/2014 7:27,1/29/2014 9:39,2:12:18,,,,,248.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,169,MFV 03692,BLK:23 PLN:27 POS:11,248.40
T64-B11,WT-163:S056,larry,don,3,BLK:23 PLN:29 POS:00,MFV 00859,251.1,1/29/2014 10:40,1/29/2014 12:58,2:18:35,,,,,251.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,170,MFV 00859,BLK:23 PLN:29 POS:00,251.10
T64-B11,WT-163:S056,larry,don,3,BLK:23 PLN:29 POS:01,MFV 09958,237.4,1/29/2014 12:59,1/29/2014 15:51,2:51:57,swap 35 min delay,T64-B11,WT-165SO56,11.1,248.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,171,MFV 09958,BLK:23 PLN:29 POS:01,248.50
T64-B11,WT-163:S056,larry,don,5,BLK:23 PLN:29 POS:02,MFV 09977,249.2,1/29/2014 11:48,1/29/2014 14:05,2:17:11,,,,,249.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,172,MFV 09977,BLK:23 PLN:29 POS:02,249.20
T64-B11,WT-163:S056,larry,don,5,BLK:23 PLN:29 POS:03,MFV 09137,112.3,1/29/2014 14:06,1/29/2014 17:42,3:35:57,swap 35 min delay,T64-B11,WT-165SO56,136,248.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,173,MFV 03692,BLK:23 PLN:27 POS:11,248.30
T64-B11,WT-163:S056,larry,don,6,BLK:23 PLN:29 POS:04,MFV 09995,217.2,1/29/2014 13:07,1/29/2014 16:00,2:52:55,swap 35 min delay,T64-B11,WT-165SO56,29.4,246.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,174,MFV 00859,BLK:23 PLN:29 POS:00,246.60
T64-B11,WT-163:S056,larry,don,6,BLK:23 PLN:29 POS:05,MFV 09140,252.1,1/29/2014 16:00,1/29/2014 18:59,2:58:07,delay 25 min cold oil,,,,252.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,175,MFV 09958,BLK:23 PLN:29 POS:01,252.10
T64-B11,WT-163:S056,larry,don,7,BLK:23 PLN:29 POS:06,MFV 03512,250,1/29/2014 9:07,1/29/2014 11:21,2:13:56,,,,,250.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,176,MFV 09977,BLK:23 PLN:29 POS:02,250.00
T64-B11,WT-163:S056,larry,don,7,BLK:23 PLN:29 POS:07,MFV 09990,249.7,1/29/2014 11:22,1/29/2014 13:40,2:17:29,,,,,249.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,177,MFV 09137,BLK:23 PLN:29 POS:03,249.70
T64-B11,WT-163:S056,larry,don,8,BLK:23 PLN:29 POS:08,MFV 09975,248.1,1/29/2014 9:43,1/29/2014 11:57,2:13:43,,,,,248.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,178,MFV 09995,BLK:23 PLN:29 POS:04,248.10
T64-B11,WT-163:S056,larry,don,8,BLK:23 PLN:29 POS:09,MFV 09948,247.9,1/29/2014 11:58,1/29/2014 14:09,2:10:43,,,,,247.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,179,MFV 09140,BLK:23 PLN:29 POS:05,247.90
T64-B11,WT-163:S056,larry,don,9,BLK:23 PLN:29 POS:10,MFV 09156,249.5,1/29/2014 9:40,1/29/2014 11:53,2:13:05,,,,,249.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,180,MFV 03512,BLK:23 PLN:29 POS:06,249.50
T64-B11,WT-163:S056,larry,don,9,BLK:23 PLN:29 POS:11,MFV 03546,249.9,1/29/2014 11:53,1/29/2014 14:06,2:13:00,,,,,249.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,181,MFV 09990,BLK:23 PLN:29 POS:07,249.90
T64-B11,WT-163:S056,larry,don,3,BLK:23 PLN:31 POS:00,MFV 09942,248,1/29/2014 15:52,1/29/2014 18:47,2:55:31,delay 25 min cold oil,,,,248.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,182,MFV 09975,BLK:23 PLN:29 POS:08,248.00
T64-B11,WT-165:S056,galvin,tommy,3,BLK:23 PLN:31 POS:01,MFV 03715,250.3,1/29/2014 18:48,1/29/2014 21:01,2:13:47,,,,,250.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,183,MFV 09948,BLK:23 PLN:29 POS:09,250.30
