Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
T64-B10,WT-164:S049,james,don,7,BLK:21 PLN:03 POS:07,MFV 09725,249.2,12/9/2013 20:44,12/9/2013 23:04,2:19:58,,,,,249.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,20,MFV 09725,BLK:21 PLN:03 POS:07,249.20
T64-B10,WT-164:S049,james,don,8,BLK:21 PLN:03 POS:08,MFV 09706,244.9,12/9/2013 18:42,12/9/2013 20:59,2:16:35,,,,,244.90,,,,,,,,0.00,,,,,,,,0.00,0.00,T64-B13,WT169:S064,Cole,John,1,BLK:21 PLN:03 POS:08,MFV 09706,3.6,7/14/2014 12:45,7/14/2014 13:03,0:18:21,"6-1/4""",,,,0.00,3.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,21,MFV 09706,BLK:21 PLN:03 POS:08,248.50
T64-B10,WT-164:S049,james,don,8,BLK:21 PLN:03 POS:09,MFV 00121,251.9,12/9/2013 20:59,12/9/2013 23:18,2:18:54,,,,,251.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,22,MFV 00121,BLK:21 PLN:03 POS:09,251.90
T64-B10,WT-164:S049,james,don,9,BLK:21 PLN:03 POS:10,MFV 03569,248.2,12/9/2013 18:41,12/9/2013 20:57,2:16:23,,,,,248.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,23,MFV 03569,BLK:21 PLN:03 POS:10,248.20
T64-B10,WT-164:S049,james,don,9,BLK:21 PLN:03 POS:11,MFV 09717,252,12/9/2013 20:58,12/9/2013 23:15,2:17:27,,,,,252.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,24,MFV 09717,BLK:21 PLN:03 POS:11,252.00
T64-B10,WT-164:S049,james,don,1,BLK:21 PLN:05 POS:00,MFV 03440,101.5,12/9/2013 23:52,12/10/2013 2:39,2:47:46,swap,T64-B10,WT-165:S050,147.4,248.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,25,MFV 03440,BLK:21 PLN:05 POS:00,248.90
T64-B10,WT-165:S050,james,don,1,BLK:21 PLN:05 POS:01,MFV 09707,248.1,12/10/2013 2:40,12/10/2013 8:21,5:41:17,,,,,248.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,26,MFV 09707,BLK:21 PLN:05 POS:01,248.10
T64-B10,WT-164:S049,james,don,2,BLK:21 PLN:05 POS:02,MFV 09747,166.7,12/9/2013 23:17,12/10/2013 2:07,2:50:16,swap,T64-B10,WT-165:S050,82.7,249.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,27,MFV 09747,BLK:21 PLN:05 POS:02,249.40
T64-B10,WT-165:S050,james,don,2,BLK:21 PLN:05 POS:03,MFV 01848,252.6,12/10/2013 2:08,12/10/2013 7:51,5:43:03,,,,,252.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,28,MFV 01848,BLK:21 PLN:05 POS:03,252.60
T64-B10,WT-164:S049,james,don,3,BLK:21 PLN:05 POS:04,MFV 02076,127,12/9/2013 23:37,12/10/2013 2:28,2:51:11,swap,T64-B10,WT-165:S050,124.9,251.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,29,MFV 02076,BLK:21 PLN:05 POS:04,251.90
