Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Dummy 1,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
T59-B01,WT-166:S006,galvin,james,8,BLK:02 PLN:14 POS:01,MFV 00551,181.80,2/21/2013 15:48,2/21/2013 17:32,1:44:10,,tanker swap,T59-B01,WT-169:S005,65.20,247.00,T64-B02,WT-165:S007,galvin,james,1,BLK:02 PLN:14 POS:01,MFV 00551,2.5,3/8/2013 1:22,3/8/2013 1:25,0:03:21,,,,,,2.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,17,MFV 00551,BLK:02 PLN:14 POS:01,249.50,
T59-B01,WT-166:S006,galvin,james,7,BLK:02 PLN:18 POS:01,MFV 04294,164.40,2/21/2013 15:48,2/21/2013 17:32,1:43:25,,tanker swap,T59-B01,WT-169:S005,81.30,245.70,T64-B02,WT-165:S007,galvin,james,8,BLK:02 PLN:18 POS:01,MFV 04294,0.6,3/8/2013 0:51,3/8/2013 0:53,0:02:06,,,,,,0.60,T64-B13,WT163:S066,Larry,Brent,9,BLK:02 PLN:18 POS:01,MFV 04294,2.6,5/22/2014 13:45,5/22/2014 13:57,0:11:43,,"1""",,,0.00,2.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,18,MFV 04294,BLK:02 PLN:18 POS:01,248.90,
T59-B01,WT-166:S006,galvin,james,9,BLK:02 PLN:10 POS:01,MFV 00527,161.50,2/21/2013 15:51,2/21/2013 17:32,1:41:34,,tanker swap,T59-B01,WT-169:S005,85.50,247.00,T64-B02,WT-165:S007,galvin,james,1,BLK:02 PLN:10 POS:01,MFV 00527,2.5,3/8/2013 1:15,3/8/2013 1:18,0:03:09,,,,,,2.50,T64-B13,WT163:S066,Larry,Brent,9,BLK:02 PLN:10 POS:01,MFV 00527,1.5,5/22/2014 13:14,5/22/2014 13:22,0:08:06,,"7/8""",,,0.00,1.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,19,MFV 00527,BLK:02 PLN:10 POS:01,251.00,
T59-B01,WT-166:S006,galvin,james,4,BLK:02 PLN:22 POS:01,MFV 03711,140.80,2/21/2013 15:53,2/21/2013 17:32,1:38:50,,tanker swap,T59-B01,WT-169:S005,106.20,247.00,T64-B02,WT-165:S007,galvin,james,8,BLK:02 PLN:22 POS:01,MFV 03711,4,3/8/2013 0:59,3/8/2013 1:04,0:04:30,,,,,,4.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,20,MFV 03711,BLK:02 PLN:22 POS:01,251.00,
T59-B01,WT-166:S006,galvin,james,10,BLK:02 PLN:06 POS:01,MFV 00806,150.70,2/21/2013 15:54,2/21/2013 17:32,1:38:05,,tanker swap,T59-B01,WT-169:S005,96.30,247.00,T64-B02,WT-165:S007,galvin,james,1,BLK:02 PLN:06 POS:01,MFV 00806,4.1,3/8/2013 1:07,3/8/2013 1:11,0:04:55,,,,,,4.10,T64-B13,WT163:S066,Larry,Brent,9,BLK:02 PLN:06 POS:01,MFV 00806,1,5/22/2014 13:07,5/22/2014 13:12,0:05:09,,"1/2""",,,0.00,1.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,21,MFV 00806,BLK:02 PLN:06 POS:01,252.10,
T59-B01,WT-166:S006,galvin,james,3,BLK:02 PLN:26 POS:01,MFV 00525,41.50,2/21/2013 16:22,2/21/2013 17:31,1:09:01,,tanker swap,T59-B01,WT-169:S005,205.50,247.00,T64-B02,WT-165:S007,galvin,james,8,BLK:02 PLN:26 POS:01,MFV 00525,1.7,3/8/2013 1:06,3/8/2013 1:08,0:02:09,,,,,,1.70,T64-B13,WT163:S066,Larry,Brent,9,BLK:02 PLN:26 POS:01,MFV 00525,2,5/22/2014 14:03,5/22/2014 14:13,0:09:16,,"3/4""",,,0.00,2.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,22,MFV 00525,BLK:02 PLN:26 POS:01,250.70,
T59-B01,WT-166:S006,galvin,james,11,BLK:02 PLN:02 POS:01,MFV 00800,55.50,2/21/2013 16:24,2/21/2013 17:33,1:08:07,,tanker swap,T59-B01,WT-169:S005,191.50,247.00,T64-B02,WT-165:S007,galvin,james,1,BLK:02 PLN:02 POS:01,MFV 00800,5.7,3/8/2013 0:54,3/8/2013 1:03,0:08:44,,,,,,5.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,23,MFV 00800,BLK:02 PLN:02 POS:01,252.70,
T59-B01,WT-166:S006,galvin,james,1,BLK:02 PLN:30 POS:01,MFV 01242,31.40,2/21/2013 16:40,2/21/2013 17:31,0:51:32,,tanker swap,T59-B01,WT-169:S005,213.60,245.00,T64-B02,WT-165:S007,galvin,james,8,BLK:02 PLN:30 POS:01,MFV 01242,2,3/8/2013 1:13,3/8/2013 1:15,0:02:46,,,,,,2.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,24,MFV 01242,BLK:02 PLN:30 POS:01,247.00,
T59-B01,WT-169:S005,daniel,jason,1,BLK:02 PLN:28 POS:01,MFV 03618,247.60,2/21/2013 19:55,2/21/2013 21:51,1:55:43,,,,,0.00,247.60,T64-B02,WT-165:S007,galvin,james,8,BLK:02 PLN:28 POS:01,MFV 03618,3.6,3/8/2013 1:08,3/8/2013 1:13,0:04:43,,,,,,3.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,25,MFV 03618,BLK:02 PLN:28 POS:01,251.20,
T59-B01,WT-169:S005,daniel,jason,3,BLK:02 PLN:24 POS:01,MFV 03462,247.50,2/21/2013 19:46,2/21/2013 22:20,2:33:46,,,,,0.00,247.50,T64-B02,WT-165:S007,galvin,james,8,BLK:02 PLN:24 POS:01,MFV 03462,1.3,3/8/2013 1:04,3/8/2013 1:06,0:01:55,,,,,,1.30,T64-B13,WT163:S066,Larry,Brent,9,BLK:02 PLN:24 POS:01,MFV 03462,0.7,5/22/2014 13:58,5/22/2014 14:03,0:04:40,,"1/4""",,,0.00,0.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,26,MFV 03462,BLK:02 PLN:24 POS:01,249.50,
